match,commence_time,logged_at_utc,submission_id,score,actual_score,predicted_probability,hit
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,2-2,1-1,0.022201044702634957,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,3-3,1-1,0.006777161014488566,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,4-4,1-1,0.0014307339919475861,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,0-1,1-1,0.11496969578150246,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,0-2,1-1,0.13413131174508622,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,1-2,1-1,0.08047878704705172,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,0-3,1-1,0.10730504939606895,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,1-3,1-1,0.06438302963764138,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,2-3,1-1,0.02011969676176293,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,0-4,1-1,0.07153669959737931,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,1-4,1-1,0.04023939352352586,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,2-4,1-1,0.01341313117450862,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,3-4,1-1,0.00495254074135703,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,0-5,1-1,0.035768349798689654,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,1-5,1-1,0.02011969676176293,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,2-5,1-1,0.00990508148271406,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,3-5,1-1,0.0028614679838951723,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,4-5,1-1,0.0012876605927528277,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,1-0,1-1,0.11654036185225629,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,2-0,1-1,0.10255551842998553,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,2-1,1-1,0.08546293202498795,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,3-0,1-1,0.06409719901874096,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,3-1,1-1,0.051277759214992766,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,3-2,1-1,0.022891856792407482,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,4-0,1-1,0.029135090463064072,0
