match,commence_time,logged_at_utc,submission_id,outcome,actual_outcome,predicted_probability,hit
Jordan vs Algeria,2026-06-23T03:00:00Z,2026-06-22T00:15:00+00:00,conversation-jordan-algeria-20260622,away,away,0.5946115562593356,1
Portugal vs Uzbekistan,2026-06-23T17:00:00Z,2026-06-23T12:12:37+00:00,conversation-02-portugal-uzbekistan,home,home,0.7521543448573189,1
Portugal vs Uzbekistan,2026-06-23T17:00:00Z,2026-06-23T12:12:37+00:00,conversation-02-portugal-uzbekistan,draw,home,0.11191379325020852,0
Portugal vs Uzbekistan,2026-06-23T17:00:00Z,2026-06-23T12:12:37+00:00,conversation-02-portugal-uzbekistan,away,home,0.07086135713985509,0
England vs Ghana,2026-06-23T20:00:00Z,2026-06-23T12:13:30+00:00,conversation-02-england-ghana,home,draw,0.7434747462451083,0
England vs Ghana,2026-06-23T20:00:00Z,2026-06-23T12:13:30+00:00,conversation-02-england-ghana,draw,draw,0.12962818436122547,1
England vs Ghana,2026-06-23T20:00:00Z,2026-06-23T12:13:30+00:00,conversation-02-england-ghana,away,draw,0.07882613743894279,0
Panama vs Croatia,2026-06-23T23:00:00Z,2026-06-23T12:14:41+00:00,conversation-02-panama-croatia,home,away,0.15939554180797919,0
Panama vs Croatia,2026-06-23T23:00:00Z,2026-06-23T12:14:41+00:00,conversation-02-panama-croatia,draw,away,0.21319747201979858,0
Panama vs Croatia,2026-06-23T23:00:00Z,2026-06-23T12:14:41+00:00,conversation-02-panama-croatia,away,away,0.6054966993023195,1
Colombia vs DR Congo,2026-06-24T02:00:00Z,2026-06-23T12:17:19+00:00,conversation-02-colombia-dr-congo,home,home,0.592769011873444,1
Colombia vs DR Congo,2026-06-24T02:00:00Z,2026-06-23T12:17:19+00:00,conversation-02-colombia-dr-congo,draw,home,0.22400788251894369,0
Colombia vs DR Congo,2026-06-24T02:00:00Z,2026-06-23T12:17:19+00:00,conversation-02-colombia-dr-congo,away,home,0.1703133663802666,0
Bosnia & Herzegovina vs Qatar,2026-06-24T19:00:00Z,2026-06-24T12:44:28+00:00,screenshot-bosnia-qatar-20260624,home,home,0.6452148558888686,1
Bosnia & Herzegovina vs Qatar,2026-06-24T19:00:00Z,2026-06-24T12:44:28+00:00,screenshot-bosnia-qatar-20260624,draw,home,0.1772816105949778,0
Bosnia & Herzegovina vs Qatar,2026-06-24T19:00:00Z,2026-06-24T12:44:28+00:00,screenshot-bosnia-qatar-20260624,away,home,0.14611220593583904,0
Switzerland vs Canada,2026-06-24T19:00:00Z,2026-06-24T12:41:53+00:00,screenshot-switzerland-canada-20260624,home,home,0.40400400108868845,1
Switzerland vs Canada,2026-06-24T19:00:00Z,2026-06-24T12:41:53+00:00,screenshot-switzerland-canada-20260624,draw,home,0.27636082337626294,0
Switzerland vs Canada,2026-06-24T19:00:00Z,2026-06-24T12:41:53+00:00,screenshot-switzerland-canada-20260624,away,home,0.3107295068454071,0
Morocco vs Haiti,2026-06-24T22:00:00Z,2026-06-24T12:50:46+00:00,screenshot-morocco-haiti-20260624,home,home,0.7229231811667434,1
Morocco vs Haiti,2026-06-24T22:00:00Z,2026-06-24T12:50:46+00:00,screenshot-morocco-haiti-20260624,draw,home,0.13279518305276897,0
Morocco vs Haiti,2026-06-24T22:00:00Z,2026-06-24T12:50:46+00:00,screenshot-morocco-haiti-20260624,away,home,0.08868612825308317,0
Scotland vs Brazil,2026-06-24T22:01:00Z,2026-06-24T12:54:25+00:00,screenshot-scotland-brazil-20260624,home,away,0.12609206462293326,0
Scotland vs Brazil,2026-06-24T22:01:00Z,2026-06-24T12:54:25+00:00,screenshot-scotland-brazil-20260624,draw,away,0.17209526581805645,0
Scotland vs Brazil,2026-06-24T22:01:00Z,2026-06-24T12:54:25+00:00,screenshot-scotland-brazil-20260624,away,away,0.6760874499942963,1
Czech Republic vs Mexico,2026-06-25T01:00:00Z,2026-06-24T13:00:48+00:00,screenshot-czech-republic-mexico-20260624,home,away,0.2790065534972224,0
Czech Republic vs Mexico,2026-06-25T01:00:00Z,2026-06-24T13:00:48+00:00,screenshot-czech-republic-mexico-20260624,draw,away,0.23614332469806845,0
Czech Republic vs Mexico,2026-06-25T01:00:00Z,2026-06-24T13:00:48+00:00,screenshot-czech-republic-mexico-20260624,away,away,0.474391017856468,1
South Africa vs South Korea,2026-06-25T01:00:00Z,2026-06-24T12:57:19+00:00,screenshot-south-africa-south-korea-20260624,home,home,0.19800697004636592,1
South Africa vs South Korea,2026-06-25T01:00:00Z,2026-06-24T12:57:19+00:00,screenshot-south-africa-south-korea-20260624,draw,home,0.23243343531196448,0
South Africa vs South Korea,2026-06-25T01:00:00Z,2026-06-24T12:57:19+00:00,screenshot-south-africa-south-korea-20260624,away,home,0.5567995244576976,0
