commence_time,match,strategy_snapshot,selected_score,actual_score,outcome_correct,exact_score_correct,selected_base_points,base_points,exact_bonus_points,realized_points,bookmaker_outcome_probability,bookmaker_exact_score_probability,bookmaker_conditional_bettor_share,bookmaker_nominal_bonus_label,bookmaker_nominal_bonus_points,bookmaker_expected_bonus_points,bookmaker_assessed_expected_points,original_compute_expected_points
2026-06-26T02:00:00Z,Paraguay vs Australia,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,0-0,0-0,True,True,104.00000000000001,104.00000000000001,20.0,124.00000000000001,0.42365979699675355,0.164657703227633,0.72,Exact,20.0,20.0,47.35377295221503,47.40532945891713
2026-06-26T02:00:00Z,Turkey vs USA,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,0-2,3-2,False,False,93.0,0.0,0.0,0.0,0.49848177273002836,0.07270789919908677,0.30303030303030304,Exact,20.0,23.809333840941232,48.0899315087972,54.85956473031489
2026-06-26T19:01:00Z,Norway vs France,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,0-2,1-4,True,False,68.0,68.0,0.0,68.0,0.601854657494651,0.08023536640745824,0.06756756756756757,Tres rare,50.0,50.789592793552345,45.001238297112536,47.28130584188065
2026-06-26T19:02:00Z,Senegal vs Iraq,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,2-0,5-0,True,False,54.0,54.0,0.0,54.0,0.7819136367200193,0.11812237460661962,0.3372093023255814,Exact,20.0,20.000992451370255,44.58590110572597,49.843974913136506
2026-06-27T00:01:00Z,Cape Verde vs Saudi Arabia,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,2-0,0-0,False,False,99.0,0.0,0.0,0.0,0.35974963348128647,0.05958388672929605,0.18461538461538463,Tres rare,50.0,48.760641943272574,38.52056228104308,39.1073529501796
2026-06-27T00:01:00Z,Uruguay vs Spain,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,0-1,0-1,True,True,57.00000000000001,57.00000000000001,50.0,107.0,0.6445013457785898,0.1259520969178679,0.07246376811594203,Tres rare,50.0,50.24679882346039,43.06526638460471,42.635810911980236
2026-06-27T03:00:00Z,Egypt vs Iran,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,1-1,1-1,True,True,114.0,114.0,20.0,134.0,0.35803721611275724,0.1398430450806397,0.3793103448275862,Exact,20.0,20.00000000000001,43.61310353846712,44.243127069712756
2026-06-27T03:01:00Z,New Zealand vs Belgium,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,0-2,1-5,True,False,32.0,32.0,0.0,32.0,0.823908906197839,0.08399275410793736,0.15789473684210525,Tres rare,50.0,49.999745223557305,30.56470130435261,34.52213183419913
2026-06-27T21:00:00Z,Croatia vs Ghana,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,0-0,2-1,False,False,120.0,0.0,0.0,0.0,0.2915603221397827,0.10652345902802982,0.4117647058823529,Exact,20.0,20.0,37.11770783733452,37.12838811365509
2026-06-27T21:00:00Z,Panama vs England,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,0-2,0-2,True,True,32.0,32.0,50.0,82.0,0.8215739203464419,0.11186952303423225,0.1927710843373494,Tres rare,50.0,45.30253494614316,31.358338427752816,34.71406558292132
2026-06-27T23:30:00Z,Colombia vs Portugal,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,1-0,0-0,False,False,154.0,0.0,0.0,0.0,0.22695912423809647,0.06503922151532059,0.5,Exact,20.0,20.0,36.252489562973274,37.2188069012595
2026-06-27T23:30:00Z,DR Congo vs Uzbekistan,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,1-0,3-1,True,False,62.99999999999999,62.99999999999999,0.0,62.99999999999999,0.5490221463968763,0.12321953265354291,0.31645569620253167,Exact,20.0,20.499261990450094,37.114304705209,40.567971764373674
2026-06-28T02:00:00Z,Algeria vs Austria,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,1-1,3-3,True,False,103.0,103.0,0.0,103.0,0.41817785250366857,0.16683330608304436,0.13636363636363635,Tres rare,50.0,49.99999999802968,51.41398411170137,46.477936208392435
2026-06-28T02:00:00Z,Jordan vs Argentina,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260626T000518Z.csv,0-2,1-3,True,False,32.0,32.0,0.0,32.0,0.8094261393873677,0.1292397873640877,0.10975609756097561,Tres rare,50.0,50.00000002292311,32.36362583156273,31.69242499059856
2026-06-28T19:00:00Z,South Africa vs Canada,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260628T101256Z.csv,0-1,0-1,True,True,64.0,64.0,50.0,114.0,0.6269992225582202,0.11787891971970436,0.09859154929577464,Tres rare,50.0,50.000011788785734,46.02189761936064,46.847663054753795
2026-06-29T17:00:00Z,Brazil vs Japan,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260628T101256Z.csv,2-0,2-1,True,False,65.0,65.0,0.0,65.0,0.6142262341296241,0.09788828045318963,0.12727272727272726,Tres rare,50.0,49.99999999999659,44.819119241084714,46.070195964916394
2026-06-29T20:30:00Z,Germany vs Paraguay,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260628T101256Z.csv,1-0,1-1,False,False,45.00000000000001,0.0,0.0,0.0,0.7726300994312443,0.05317383209816591,0.0375,Mega rare,70.0,67.90431527793461,38.379087133735815,42.69824595034504
2026-06-30T00:59:00Z,Netherlands vs Morocco,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260628T101256Z.csv,2-0,1-1,False,False,80.0,0.0,0.0,0.0,0.46447876843005237,0.07399501363601595,0.12195121951219512,Tres rare,50.0,50.00000000000618,40.858052156205446,42.132588951502335
2026-06-30T17:00:00Z,Ivory Coast vs Norway,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260628T101256Z.csv,0-2,1-2,True,False,75.0,75.0,0.0,75.0,0.5025903002043282,0.068993173925195,0.08333333333333333,Tres rare,50.0,50.008581206664005,41.14452325626822,43.317378211794576
2026-06-30T21:00:00Z,France vs Sweden,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260628T101256Z.csv,2-0,3-0,True,False,38.0,38.0,0.0,38.0,0.8243716773240168,0.09630622694028547,0.08163265306122448,Tres rare,50.0,50.01560100854654,36.14293755959649,38.08323538070704
2026-07-01T02:00:00Z,Mexico vs Ecuador,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260628T101256Z.csv,1-0,2-0,True,False,84.0,84.0,0.0,84.0,0.4540158125453841,0.13032275052959777,0.2909090909090909,Rare,30.0,28.18348929556551,41.810278098331835,41.605471981653515
2026-07-01T16:00:00Z,England vs DR Congo,data/mpg/strategy_snapshots/2026/07/mpg_optimal_strategy_20260701T041904Z.csv,1-0,2-1,True,False,38.99999999999999,38.99999999999999,0.0,38.99999999999999,0.822898278277929,0.14200890752766535,0.09523809523809523,Tres rare,50.0,50.00006073638881,39.19348685433072,38.200345517521015
2026-07-01T20:00:00Z,Belgium vs Senegal,data/mpg/strategy_snapshots/2026/07/mpg_optimal_strategy_20260701T041904Z.csv,2-0,3-2,True,False,80.0,80.0,0.0,80.0,0.4675030478665643,0.07348941798226971,0.07317073170731707,Tres rare,50.0,50.2049974623256,41.08977987263278,42.009995802070556
